date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:52:54	37669/37669	---M--	200	added ('OK')	image/jpeg	etag:%229325-6126f0e1d273a%22	https://dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-10.jpg	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-10.jpg	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:56	19458/19458	---M--	200	added ('OK')	image/jpeg	etag:%224c02-6126f0e1d273a%22	https://dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-12.jpg	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-12.jpg	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:56	49723/49723	---M--	200	added ('OK')	image/jpeg	etag:%22c23b-6126f0e1d273a%22	https://dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-11.jpg	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-11.jpg	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:56	35841/35841	---M--	200	added ('OK')	image/jpeg	etag:%228c01-6126f0e1d273a%22	https://dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-13.jpg	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/img/featured/featured-13.jpg	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:57	1454/1454	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ae-6126f0e1e30db%22	https://dreamsports.dreamstechnologies.com/html/assets/img/icons/u_plus-square.svg	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/img/icons/u_plus-square.svg	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:57	53324/53324	---M-Z	200	added ('OK')	text/javascript	etag:%22d04c-6126f0e1eec5b-gzip%22	https://dreamsports.dreamstechnologies.com/html/assets/js/moment.min.js	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/js/moment.min.js	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:58	38510/38510	---M-Z	200	added ('OK')	text/javascript	etag:%22966e-6126f0e1ebd7b-gzip%22	https://dreamsports.dreamstechnologies.com/html/assets/js/bootstrap-datetimepicker.min.js	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/js/bootstrap-datetimepicker.min.js	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:59	6678/6678	---M-Z	200	added ('OK')	text/javascript	etag:%221a16-6126f0e1eec5b-gzip%22	https://dreamsports.dreamstechnologies.com/html/assets/js/map.js	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/js/map.js	(from https://dreamsports.dreamstechnologies.com/html/coaches-map.html)
09:52:59	3456/3456	---M-Z	200	added ('OK')	text/css	etag:%22d80-6126f0e20441c-gzip%22	https://dreamsports.dreamstechnologies.com/html/assets/plugins/simple-calendar/simple-calendar.css	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/plugins/simple-calendar/simple-calendar.css	(from https://dreamsports.dreamstechnologies.com/html/coaches-grid-sidebar.html)
09:53:00	11084/11084	---M-Z	200	added ('OK')	text/css	etag:%222b4c-6126f0e2024dc-gzip%22	https://dreamsports.dreamstechnologies.com/html/assets/plugins/ion-rangeslider/css/ion.rangeSlider.min.css	C:/My%20Web%20Sites/front2/dreamsports.dreamstechnologies.com/html/assets/plugins/ion-rangeslider/css/ion.rangeSlider.min.css	(from https://dreamsports.dreamstechnologies.com/html/coaches-grid-sidebar.html)
